Gene	WT_rep1
ENSRNA049472998	0
ENSRNA049473016	0
ENSRNA049473030	0
ENSRNA049473038	0
ENSRNA049473047	0
ENSRNA049473057	0
ENSRNA049473071	0
ENSRNA049473086	0
ENSRNA049473108	0
ENSRNA049473120	0
ENSRNA049473128	4
ENSRNA049473141	0
ENSRNA049473150	0
ENSRNA049473157	0
ENSRNA049473164	0
ENSRNA049473172	0
ENSRNA049473180	0
ENSRNA049473196	25
ENSRNA049473206	1
ENSRNA049473214	0
ENSRNA049473223	0
ENSRNA049473229	0
ENSRNA049473235	0
ENSRNA049473244	40
ENSRNA049473255	0
ENSRNA049473260	0
ENSRNA049473266	0
ENSRNA049473272	0
ENSRNA049473325	0
ENSRNA049473335	0
ENSRNA049473340	0
ENSRNA049473348	0
ENSRNA049473358	0
ENSRNA049473366	0
ENSRNA049473373	0
ENSRNA049473384	1
ENSRNA049473392	7
ENSRNA049473406	0
ENSRNA049473411	0
ENSRNA049473424	0
ENSRNA049473437	2
ENSRNA049473446	0
ENSRNA049473455	0
ENSRNA049473485	8
ENSRNA049473568	1
ENSRNA049473582	0
ENSRNA049473596	3
ENSRNA049473610	5
ENSRNA049473620	6
ENSRNA049473627	5
ENSRNA049473635	0
ENSRNA049473641	25
ENSRNA049473653	23
ENSRNA049473661	39
ENSRNA049473675	0
ENSRNA049473712	0
ENSRNA049473777	0
ENSRNA049473801	0
ENSRNA049473820	0
ENSRNA049473842	3
ENSRNA049473850	0
ENSRNA049473859	0
ENSRNA049473866	4
ENSRNA049473876	1
ENSRNA049473879	5
ENSRNA049473887	0
ENSRNA049473893	2
ENSRNA049473899	2
ENSRNA049473908	11
ENSRNA049473918	0
ENSRNA049473927	0
ENSRNA049473941	0
ENSRNA049474010	4
ENSRNA049474027	4
ENSRNA049474032	0
ENSRNA049474042	1
ENSRNA049474050	0
ENSRNA049474061	0
ENSRNA049474076	0
ENSRNA049474088	0
ENSRNA049474102	41
ENSRNA049474111	0
ENSRNA049474115	48
ENSRNA049474126	1
ENSRNA049474136	0
ENSRNA049474195	0
ENSRNA049474199	0
ENSRNA049474205	0
ENSRNA049474213	0
ENSRNA049474217	0
ENSRNA049474225	0
ENSRNA049474232	0
ENSRNA049474241	0
ENSRNA049474244	0
ENSRNA049474253	0
ENSRNA049474262	0
ENSRNA049474273	0
ENSRNA049474276	0
ENSRNA049474279	0
ENSRNA049474284	0
ENSRNA049474289	0
ENSRNA049474295	0
ENSRNA049474304	0
ENSRNA049474311	0
ENSRNA049474318	0
ENSRNA049474324	0
ENSRNA049474335	0
ENSRNA049474343	0
ENSRNA049474354	0
ENSRNA049474361	0
ENSRNA049474373	0
ENSRNA049474379	0
ENSRNA049474385	0
ENSRNA049474391	0
ENSRNA049474398	0
ENSRNA049474408	0
ENSRNA049474419	0
ENSRNA049474426	0
ENSRNA049474432	0
ENSRNA049474437	0
ENSRNA049474445	0
ENSRNA049474451	0
ENSRNA049474453	0
ENSRNA049474460	0
ENSRNA049474468	0
ENSRNA049474472	0
ENSRNA049474478	0
ENSRNA049474481	0
ENSRNA049474489	0
ENSRNA049474495	0
ENSRNA049474500	0
ENSRNA049474505	0
ENSRNA049474511	0
ENSRNA049474521	0
ENSRNA049474528	0
ENSRNA049474533	0
ENSRNA049474537	0
ENSRNA049474544	0
ENSRNA049474549	0
ENSRNA049474557	0
ENSRNA049474563	0
ENSRNA049474566	0
ENSRNA049474570	0
ENSRNA049474577	0
ENSRNA049474581	0
ENSRNA049474586	0
ENSRNA049474588	0
ENSRNA049474592	0
ENSRNA049474596	0
ENSRNA049474603	0
ENSRNA049474608	0
ENSRNA049474612	0
ENSRNA049474615	0
ENSRNA049474617	0
ENSRNA049474620	0
ENSRNA049474625	0
ENSRNA049474629	0
ENSRNA049474635	0
ENSRNA049474644	0
ENSRNA049474651	0
ENSRNA049474657	0
ENSRNA049474662	0
ENSRNA049474667	0
ENSRNA049474676	0
ENSRNA049474682	0
ENSRNA049474689	0
ENSRNA049474690	0
ENSRNA049474694	0
ENSRNA049474700	0
ENSRNA049474705	0
ENSRNA049474711	0
ENSRNA049474719	0
ENSRNA049474721	0
ENSRNA049474726	0
ENSRNA049474731	0
ENSRNA049474738	0
ENSRNA049474743	0
ENSRNA049474749	0
ENSRNA049474756	0
ENSRNA049474763	0
ENSRNA049474769	0
ENSRNA049474776	0
ENSRNA049474783	0
ENSRNA049474790	0
ENSRNA049474797	0
ENSRNA049474808	0
ENSRNA049474817	0
ENSRNA049474826	0
ENSRNA049474835	0
ENSRNA049474841	0
ENSRNA049474845	0
ENSRNA049474854	0
ENSRNA049474857	0
ENSRNA049474863	0
ENSRNA049474871	0
ENSRNA049474875	0
ENSRNA049474883	0
ENSRNA049474886	0
ENSRNA049474895	0
ENSRNA049474899	0
ENSRNA049474905	0
ENSRNA049474906	0
ENSRNA049474912	0
ENSRNA049474921	0
ENSRNA049474928	0
ENSRNA049474932	0
ENSRNA049474934	0
ENSRNA049474938	0
ENSRNA049474942	0
ENSRNA049474949	0
ENSRNA049474951	0
ENSRNA049474955	0
ENSRNA049474961	0
ENSRNA049474965	0
ENSRNA049474970	0
ENSRNA049474978	0
ENSRNA049474984	0
ENSRNA049474990	0
ENSRNA049474998	0
ENSRNA049475007	0
ENSRNA049475012	0
ENSRNA049475022	0
ENSRNA049475029	0
ENSRNA049475035	0
ENSRNA049475041	0
ENSRNA049475051	0
ENSRNA049475060	0
ENSRNA049475065	0
ENSRNA049475072	0
ENSRNA049475076	0
ENSRNA049475084	0
ENSRNA049475088	0
ENSRNA049475096	0
ENSRNA049475103	0
ENSRNA049475107	0
ENSRNA049475114	0
ENSRNA049475120	0
ENSRNA049475126	0
ENSRNA049475134	0
ENSRNA049475139	0
ENSRNA049475144	0
ENSRNA049475147	0
ENSRNA049475154	0
ENSRNA049475159	0
ENSRNA049475162	0
ENSRNA049475165	0
ENSRNA049475169	0
